Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA,AAPL,AMD,AMZN,INTC,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01,224.9440460205078,159.75,185.1300048828125,22.690000534057617,416.775146484375,116.9664535522461,258.0199890136719,228.364781673884,165.39999389648438,186.19000244140625,23.719999313354492,424.49266278755016,122.40489622649267,263.9800109863281,222.48786790384585,158.0800018310547,183.4499969482422,22.260000228881836,414.91263654622963,115.7568014008595,248.52999877929688,228.23551952322458,164.47999572753906,184.89999389648438,23.459999084472656,424.4629431708175,121.73508253340503,262.6700134277344,63285000,31831900,36044900,86344400,19092900,302094500,87397600
2024-10-02,225.51083374023438,159.77999877929688,184.75999450683594,22.389999389648438,413.2482604980469,118.81593322753906,249.02000427246094,226.09752818761766,163.10000610351562,186.60000610351562,23.06999969482422,418.8853126966806,119.34578009653441,251.16000366210938,221.771881889721,158.6699981689453,184.0399932861328,22.350000381469727,412.8321556473641,115.10699751736388,241.5,224.62581519597003,159.30999755859375,184.44000244140625,22.670000076293945,418.6475255390392,116.40662795721522,247.5500030517578,32880600,24630400,23704100,59033900,16582300,221845900,93983900
2024-10-03,224.4070587158203,162.85000610351562,181.9600067138672,22.260000228881836,412.6637878417969,122.81478118896484,240.66000366210938,225.5406782135141,166.7899932861328,183.44000244140625,22.729999542236328,415.64575695003026,124.3243504544059,249.7899932861328,222.07021935855937,159.39999389648438,180.8800048828125,21.649999618530273,410.43472579830313,120.30549859251518,237.80999755859375,223.8800260213992,159.7100067138672,183.0500030517578,22.139999389648438,413.74364093705873,120.88533415502995,244.47999572753906,34044200,29598800,30204300,49565900,13686400,277118000,80729200
2024-10-04,225.5307159423828,170.89999389648438,186.50999450683594,22.59000015258789,412.188232421875,124.88418579101562,250.0800018310547,226.72399710298305,171.2100067138672,187.60000610351562,22.90999984741211,415.8438964916741,125.00415413490973,250.9600067138672,222.87566042869454,164.4199981689453,183.60000610351562,22.299999237060547,411.1083793562167,121.79507530101387,244.5800018310547,226.6245506840192,166.52999877929688,185.75,22.700000762939453,414.34793855319174,124.90418432860164,246.69000244140625,37245100,44556500,40890300,49845500,19169700,243678100,86573200
2024-10-07,220.4493408203125,170.97000122070312,180.8000030517578,22.3799991607666,405.7289123535156,127.68339538574219,240.8300018310547,224.42695529805295,172.41000366210938,183.60000610351562,22.649999618530273,413.22844449254166,130.6025566538886,249.8300018310547,220.09135491038006,168.2100067138672,180.25,22.020000457763672,405.1939290185023,124.91418502432315,240.6999969482422,223.24361256318196,171.0800018310547,182.9499969482422,22.399999618530273,412.12878843935687,124.95417447518639,249.0,39505400,38379900,42364200,54928700,20919800,346250200,68113300
2024-10-08,224.50650024414062,172.8000030517578,182.72000122070312,23.31999969482422,410.85076904296875,132.85189819335938,244.5,224.71531649859696,173.60000610351562,183.08999633789062,23.420000076293945,411.791940593935,133.44172537204778,246.2100067138672,222.00059897690352,170.0,180.9199981689453,22.049999237060547,404.37165096666996,129.38289186465897,240.55999755859375,223.0447257693685,171.75,181.9199981689453,22.25,407.0762266898708,130.2226473652744,243.55999755859375,31855700,34730200,26372100,58650500,19229300,285722500,56303200
2024-10-09,228.25538635253906,171.02000427246094,185.1699981689453,23.459999084472656,413.5751953125,132.61196899414062,241.0500030517578,228.46421777631028,174.0500030517578,185.85000610351562,23.479999542236328,416.46803570058375,134.48144332062452,247.42999267578125,223.57175408478048,169.5500030517578,182.0500030517578,23.059999465942383,410.4445979894132,131.34234403030248,239.50999450683594,223.96950943919006,174.0500030517578,182.82000732421875,23.25,411.99007853410836,134.0715571884807,243.82000732421875,33591100,33890700,26343100,44759000,14974300,246191600,66289500
2024-10-10,227.7581787109375,164.17999267578125,186.64999389648438,23.219999313354492,411.9703063964844,134.7713623046875,238.77000427246094,228.21561101279016,172.00999450683594,188.1300048828125,23.530000686645508,413.4662644363184,134.96131029321415,242.7899932861328,225.89864895817115,162.0,185.8300018310547,22.959999084472656,409.3053363605262,130.9624566548967,232.33999633789062,226.50523572074002,169.75999450683594,187.1300048828125,23.190000534057617,411.3659973968845,131.87219951867377,241.80999755859375,28183500,75113600,27785000,44874600,13848400,242311300,83087100
