date,Close_1,High_1,Low_1,Open_1,Volume_1,Close_2,High_2,Low_2,Open_2,Volume_2,Open,High,Low,Close,Volume
2010-01-04,38.333946228027344,38.50921497158216,37.958367278878754,38.30264619137181,6585900,17.557861328125,17.613268416949857,17.514767186645063,17.594798995932475,13870400,38.30264619137181,38.50921497158216,37.958367278878754,38.333946228027344,6585900
2010-01-05,38.797157287597656,38.87227212252928,38.12111899749797,38.18371429529807,8886000,17.3454647064209,17.54246831411528,17.28082350310704,17.499373004345582,23172400,38.18371429529807,38.87227212252928,38.12111899749797,38.797157287597656,8886000
2010-01-06,38.40904998779297,39.1038685749082,38.32767421409616,38.8034069349394,9998000,17.33931541442871,17.37317426535058,17.231578864023565,17.34547071515812,19264600,38.8034069349394,39.1038685749082,38.32767421409616,38.40904998779297,9998000
2010-01-07,38.1649284362793,38.42157292573447,37.889503451010384,38.40279242992073,10792000,17.296220779418945,17.351627882013236,17.160781847648224,17.339316105835955,13234600,38.40279242992073,38.42157292573447,37.889503451010384,38.1649284362793,10792000
2010-01-08,38.03973388671875,38.07103152795612,37.726752698631074,38.033472925757096,8674700,16.97608184814453,17.12691128804698,16.852954768274614,17.071504219528205,28712400,38.033472925757096,38.07103152795612,37.726752698631074,38.03973388671875,8674700
2010-01-11,37.99591445922852,38.06477069858351,37.62033562307136,37.98339492590426,6461200,17.320838928222656,17.3762460060193,16.868348184292397,16.97608469077568,28642400,37.98339492590426,38.06477069858351,37.62033562307136,37.99591445922852,6461200
2010-01-12,38.52798461914063,38.609360398424144,37.87072458734489,37.8832441216852,9081800,17.50861358642578,17.54555126029534,17.256203995566747,17.265438120477267,23269800,37.8832441216852,38.609360398424144,37.87072458734489,38.52798461914063,9081800
2010-01-13,38.840965270996094,39.0224949346069,38.44034972913567,38.44034972913567,7380100,17.554784774780273,17.67791191570066,17.450127057266176,17.502456503136944,15157400,38.44034972913567,39.0224949346069,38.44034972913567,38.840965270996094,7380100
2010-01-14,39.3104362487793,39.38555106436984,38.65943481270948,38.8221863656554,7211600,17.585569381713867,17.62250705899266,17.4747551756499,17.557865830197876,12392600,38.8221863656554,39.38555106436984,38.65943481270948,39.3104362487793,7211600
2010-01-15,38.9912109375,39.37930708100347,38.69700775130692,39.19151877852487,8361200,17.327001571655273,17.653286507966907,17.25004740000027,17.530160537855387,27460800,39.19151877852487,39.37930708100347,38.69700775130692,38.9912109375,8361200
